"MP","club","firstName","lastName","listVotes.GROSZKOWSKI JAKUB","listVotes.WRÓBLEWSKI MIROSŁAW","secondName","vote"
228,"PiS","Ewa","Malik",YES,NO,"Danuta","VOTE_VALID"
229,"PSL-TD","Mirosław","Maliszewski",NO,YES,"Wojciech","VOTE_VALID"
230,"PiS","Maciej","Małecki",YES,NO,NA,"VOTE_VALID"
231,"KO","Arkadiusz","Marchewka",NO,YES,NA,"VOTE_VALID"
232,"KO","Jagna","Marczułajtis-Walczak",NO,YES,"Kinga","VOTE_VALID"
233,"KO","Dorota","Marek",NO,YES,NA,"VOTE_VALID"
234,"PiS","Dariusz","Matecki",YES,NO,"Piotr","VOTE_VALID"
235,"PiS","Jerzy","Materna",YES,NO,"Marian","VOTE_VALID"
236,"PiS","Grzegorz","Matusiak",YES,NO,NA,"VOTE_VALID"
237,"KO","Katarzyna","Matusik-Lipiec",NO,YES,"Irena","VOTE_VALID"
238,"PiS","Marek","Matuszewski",YES,NO,NA,"VOTE_VALID"
239,"Lewica","Paulina","Matysiak",NO,YES,NA,"VOTE_VALID"
240,"PiS","Łukasz","Mejza",YES,NO,NA,"VOTE_VALID"
241,"Konfederacja","Sławomir","Mentzen",NO,NO,"Jerzy","VOTE_VALID"
242,"PiS","Anna","Milczanowska",YES,NO,"Maria","VOTE_VALID"
243,"PiS","Daniel","Milewski",YES,NO,"George","VOTE_VALID"
244,"KO","Rajmund","Miller",NO,YES,"Tadeusz","VOTE_VALID"
245,"KO","Aleksander","Miszalski",NO,YES,"Jan","VOTE_VALID"
246,"PiS","Mateusz","Morawiecki",YES,NO,"Jakub","VOTE_VALID"
247,"PiS","Jan","Mosiński",YES,NO,NA,"VOTE_VALID"
248,"PiS","Michał","Moskal",NA,NA,NA,"ABSENT"
249,"KO","Czesław","Mroczek",NO,YES,NA,"VOTE_VALID"
250,"PiS","Aleksander","Mrówczyński",YES,NO,"Mikołaj","VOTE_VALID"
251,"KO","Izabela","Mrzygłocka",NO,YES,"Katarzyna","VOTE_VALID"
252,"Polska2050-TD","Joanna","Mucha",NO,YES,NA,"VOTE_VALID"
253,"PiS","Arkadiusz","Mularczyk",YES,NO,NA,"VOTE_VALID"
254,"Konfederacja","Krzysztof","Mulawa",NO,NO,NA,"VOTE_VALID"
255,"PiS","Piotr","Müller",YES,NO,"Józef","VOTE_VALID"
256,"KO","Arkadiusz","Myrcha",NO,YES,NA,"VOTE_VALID"
257,"KO","Grzegorz","Napieralski",NO,YES,"Bernard","VOTE_VALID"
258,"KO","Dorota","Niedziela",NO,YES,NA,"VOTE_VALID"
259,"KO","Jacek","Niedźwiedzki",NO,YES,NA,"VOTE_VALID"
260,"KO","Małgorzata","Niemczyk",NO,YES,"Barbara","VOTE_VALID"
261,"KO","Jolanta","Niezgodzka",NO,YES,"Magdalena","VOTE_VALID"
262,"KO","Sławomir","Nitras",NA,NA,NA,"ABSENT"
263,"KO","Barbara","Nowacka",NO,YES,"Anna","VOTE_VALID"
264,"Polska2050-TD","Maja","Nowak",NO,YES,"Ewa","VOTE_VALID"
265,"KO","Tomasz","Nowak",NO,YES,"Piotr","VOTE_VALID"
266,"Lewica","Wanda","Nowicka",NO,YES,"Hanna","VOTE_VALID"
267,"PSL-TD","Urszula","Nowogórska",NO,YES,"Teresa","VOTE_VALID"
268,"KO","Mirosława","Nykiel",NO,YES,NA,"VOTE_VALID"
269,"PiS","Marcin","Ociepa",YES,NO,"Michał","VOTE_VALID"
270,"KO","Marzena","Okła-Drewnowicz",NO,YES,NA,"VOTE_VALID"
271,"Polska2050-TD","Barbara","Okuła",NO,YES,NA,"VOTE_VALID"
272,"Polska2050-TD","Barbara","Oliwiecka",NO,YES,"Anna","VOTE_VALID"
273,"Lewica","Dorota","Olko",NO,YES,"Zofia","VOTE_VALID"
274,"KO","Paweł","Olszewski",NO,YES,"Bartosz","VOTE_VALID"
275,"PSL-TD","Mirosław","Orliński",NO,YES,"Adam","VOTE_VALID"
276,"Polska2050-TD","Łukasz","Osmalak",NO,YES,"Tomasz","VOTE_VALID"
277,"KO","Katarzyna","Osos",NO,YES,NA,"VOTE_VALID"
278,"PiS","Jacek","Osuch",YES,NO,"Piotr","VOTE_VALID"
279,"PiS","Jacek","Ozdoba",YES,NO,"Dawid","VOTE_VALID"
280,"PiS","Teresa","Pamuła",YES,NO,NA,"VOTE_VALID"
281,"KO","Paweł","Papke",NO,YES,NA,"VOTE_VALID"
282,"PSL-TD","Urszula","Pasławska",NO,YES,"Stefania","VOTE_VALID"
283,"PSL-TD","Krzysztof","Paszyk",NO,YES,"Michał","VOTE_VALID"
284,"KO","Karolina","Pawliczak",NO,YES,"Monika","VOTE_VALID"
285,"Konfederacja","Bartłomiej","Pejo",NO,NO,"Artur","VOTE_VALID"
286,"Polska2050-TD","Ryszard","Petru",NA,NA,"Jerzy","ABSENT"
287,"KO","Małgorzata","Pępek",NO,YES,"Anna","VOTE_VALID"
288,"PiS","Bolesław","Piecha",YES,NO,"Grzegorz","VOTE_VALID"
289,"PiS","Grzegorz","Piechowiak",YES,NO,NA,"VOTE_VALID"
290,"PiS","Anna","Pieczarka",YES,NO,"Maria","VOTE_VALID"
291,"KO","Katarzyna","Piekarska",NO,YES,"Maria","VOTE_VALID"
292,"Polska2050-TD","Norbert","Pietrykowski",NO,YES,"jerzy","VOTE_VALID"
293,"KO","Lucjan","Pietrzczyk",NO,YES,"Marek","VOTE_VALID"
294,"PiS","Dariusz","Piontkowski",YES,NO,NA,"VOTE_VALID"
295,"KO","Kazimierz","Plocke",NO,YES,"Florian","VOTE_VALID"
296,"Konfederacja","Grzegorz","Płaczek",NO,NO,"Adam","VOTE_VALID"
297,"PiS","Kacper","Płażyński",YES,NO,"Maciej","VOTE_VALID"
298,"PiS","Szymon","Pogoda",YES,NO,"Marek","VOTE_VALID"
299,"PiS","Jerzy","Polaczek",YES,NO,"Jan","VOTE_VALID"
300,"KO","Elżbieta","Polak",NO,YES,"Anna","VOTE_VALID"
301,"PiS","Piotr","Polak",YES,NO,NA,"VOTE_VALID"
302,"KO","Agnieszka","Pomaska",NO,YES,"Dominika","VOTE_VALID"
303,"PiS","Marcin","Porzucek",YES,NO,"Bartosz","VOTE_VALID"
304,"KO","Jacek","Protas",NO,YES,NA,"VOTE_VALID"
305,"PiS","Marcin","Przydacz",YES,NO,"Paweł","VOTE_VALID"
306,"PiS","Grzegorz","Puda",YES,NO,"Paweł","VOTE_VALID"
307,"PSL-TD","Michał","Pyrzyk",NO,YES,NA,"VOTE_VALID"
308,"KO","Renata","Rak",NO,YES,"Urszula","VOTE_VALID"
309,"PSL-TD","Ireneusz","Raś",NO,YES,NA,"VOTE_VALID"
310,"PiS","Zbigniew","Rau",YES,NO,"Włodzimierz","VOTE_VALID"
311,"PiS","Marcin","Romanowski",YES,NO,NA,"VOTE_VALID"
312,"Polska2050-TD","Bartosz","Romowicz",NO,YES,NA,"VOTE_VALID"
313,"KO","Monika","Rosa",NO,YES,"Anna","VOTE_VALID"
314,"PSL-TD","Wiesław","Różyński",NO,YES,"Marian","VOTE_VALID"
315,"PiS","Urszula","Rusecka",YES,NO,"Beata","VOTE_VALID"
316,"KO","Grzegorz","Rusiecki",NO,YES,"Stanisław","VOTE_VALID"
317,"KO","Jakub","Rutnicki",NO,YES,"Adam","VOTE_VALID"
318,"PiS","Paweł","Rychlik",YES,NO,"Piotr","VOTE_VALID"
319,"KO","Marek","Rząsa",NO,YES,"Zdzisław","VOTE_VALID"
320,"PSL-TD","Jarosław","Rzepa",NO,YES,"Michał","VOTE_VALID"
321,"Kukiz15","Jarosław","Sachajko",YES,NO,NA,"VOTE_VALID"
322,"PiS","Paweł","Sałek",YES,NO,NA,"VOTE_VALID"
323,"KO","Wojciech","Saługa",NO,YES,"Paweł","VOTE_VALID"
324,"PSL-TD","Tadeusz","Samborski",NO,YES,NA,"VOTE_VALID"
325,"PiS","Jacek","Sasin",YES,NO,"Robert","VOTE_VALID"
326,"PSL-TD","Marek","Sawicki",NO,YES,"Wacław","VOTE_VALID"
327,"Polska2050-TD","Ewa","Schädler",NO,YES,"Katarzyna","VOTE_VALID"
328,"Lewica","Joanna","Scheuring-Wielgus",NO,YES,"Izabela","VOTE_VALID"
