"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
279,"PiS","Jacek","Ozdoba",NO,YES,"Dawid","VOTE_VALID"
280,"PiS","Teresa","Pamuła",NO,YES,NA,"VOTE_VALID"
281,"KO","Paweł","Papke",YES,NO,NA,"VOTE_VALID"
282,"PSL","Urszula","Pasławska",YES,NO,"Stefania","VOTE_VALID"
283,"PSL","Krzysztof","Paszyk",YES,NO,"Michał","VOTE_VALID"
284,"KO","Karolina","Pawliczak",YES,NO,"Monika","VOTE_VALID"
285,"Konfederacja","Bartłomiej","Pejo",YES,NO,"Artur","VOTE_VALID"
286,"Polska2050","Ryszard","Petru",YES,NO,"Jerzy","VOTE_VALID"
287,"KO","Małgorzata","Pępek",YES,NO,"Anna","VOTE_VALID"
288,"PiS","Bolesław","Piecha",NO,YES,"Grzegorz","VOTE_VALID"
289,"PiS","Grzegorz","Piechowiak",NO,YES,NA,"VOTE_VALID"
290,"PiS","Anna","Pieczarka",NO,YES,"Maria","VOTE_VALID"
291,"KO","Katarzyna","Piekarska",YES,NO,"Maria","VOTE_VALID"
292,"Polska2050","Norbert","Pietrykowski",YES,NO,"jerzy","VOTE_VALID"
293,"KO","Lucjan","Pietrzczyk",YES,NO,"Marek","VOTE_VALID"
294,"PiS","Dariusz","Piontkowski",NO,YES,NA,"VOTE_VALID"
295,"KO","Kazimierz","Plocke",YES,NO,"Florian","VOTE_VALID"
296,"Konfederacja","Grzegorz","Płaczek",YES,NO,"Adam","VOTE_VALID"
297,"PiS","Kacper","Płażyński",NO,YES,"Maciej","VOTE_VALID"
298,"PiS","Szymon","Pogoda",NO,YES,"Marek","VOTE_VALID"
299,"PiS","Jerzy","Polaczek",NO,YES,"Jan","VOTE_VALID"
300,"KO","Elżbieta","Polak",YES,NO,"Anna","VOTE_VALID"
301,"PiS","Piotr","Polak",NO,YES,NA,"VOTE_VALID"
302,"KO","Agnieszka","Pomaska",YES,NO,"Dominika","VOTE_VALID"
303,"PiS","Marcin","Porzucek",NO,YES,"Bartosz","VOTE_VALID"
304,"KO","Jacek","Protas",YES,NO,NA,"VOTE_VALID"
305,"PiS","Marcin","Przydacz",NO,YES,"Paweł","VOTE_VALID"
306,"PiS","Grzegorz","Puda",NO,YES,"Paweł","VOTE_VALID"
307,"PSL","Michał","Pyrzyk",YES,NO,NA,"VOTE_VALID"
308,"KO","Renata","Rak",YES,NO,"Urszula","VOTE_VALID"
309,"PSL","Ireneusz","Raś",YES,NO,NA,"VOTE_VALID"
310,"PiS","Zbigniew","Rau",NO,YES,"Włodzimierz","VOTE_VALID"
311,"PiS","Marcin","Romanowski",NO,YES,NA,"VOTE_VALID"
312,"Polska2050","Bartosz","Romowicz",YES,NO,NA,"VOTE_VALID"
313,"KO","Monika","Rosa",YES,NO,"Anna","VOTE_VALID"
314,"PSL","Wiesław","Różyński",YES,NO,"Marian","VOTE_VALID"
315,"PiS","Urszula","Rusecka",NO,YES,"Beata","VOTE_VALID"
316,"KO","Grzegorz","Rusiecki",YES,NO,"Stanisław","VOTE_VALID"
317,"KO","Jakub","Rutnicki",YES,NO,"Adam","VOTE_VALID"
318,"PiS","Paweł","Rychlik",NO,YES,"Piotr","VOTE_VALID"
319,"KO","Marek","Rząsa",YES,NO,"Zdzisław","VOTE_VALID"
320,"PSL","Jarosław","Rzepa",YES,NO,"Michał","VOTE_VALID"
321,"PiS","Jarosław","Sachajko",NO,YES,NA,"VOTE_VALID"
322,"PiS","Paweł","Sałek",NO,YES,NA,"VOTE_VALID"
323,"KO","Wojciech","Saługa",YES,NO,"Paweł","VOTE_VALID"
324,"PSL","Tadeusz","Samborski",YES,NO,NA,"VOTE_VALID"
325,"PiS","Jacek","Sasin",NO,YES,"Robert","VOTE_VALID"
326,"PSL","Marek","Sawicki",YES,NO,"Wacław","VOTE_VALID"
327,"Polska2050","Ewa","Schädler",YES,NO,"Katarzyna","VOTE_VALID"
328,"Nowa_Lewica","Joanna","Scheuring-Wielgus",YES,NO,"Izabela","VOTE_VALID"
329,"PiS","Anna","Schmidt",NO,YES,"Katarzyna","VOTE_VALID"
330,"PiS","Łukasz","Schreiber",NO,YES,NA,"VOTE_VALID"
331,"PiS","Jarosław","Sellin",NO,YES,"Daniel","VOTE_VALID"
332,"PiS","Olga","Semeniuk-Patkowska",NO,YES,"Ewa","VOTE_VALID"
333,"PiS","Edward","Siarka",NO,YES,NA,"VOTE_VALID"
334,"KO","Krystyna","Sibińska",YES,NO,"Mieczysława","VOTE_VALID"
335,"PSL","Czesław","Siekierski",YES,NO,"Adam","VOTE_VALID"
336,"KO","Rafał","Siemaszko",YES,NO,NA,"VOTE_VALID"
