"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.listVotes.1","votes.listVotes.2","votes.secondName","votes.vote","votingNumber","votingOptions.option","votingOptions.optionIndex","votingOptions.votes","yes"
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 80,"Konfederacja","Bronisław","Foltyn",YES,NO,"Edward","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 81,"Konfederacja","Roman","Fritz",YES,NO,"Henryk","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 82,"KO","Joanna","Frydrych",YES,NO,"Zofia","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 83,"KO","Konrad","Frysztak",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 84,"KO","Patryk","Gabriel",YES,NO,NA,"VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 85,"KO","Krzysztof","Gadowski",YES,NO,"Jan","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 86,"KO","Aleksandra","Gajewska",YES,NO,"Małgorzata","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 87,"KO","Kinga","Gajewska",YES,NO,"Magdalena","VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 88,"KO","Elżbieta","Gapińska",YES,NO,"Teresa","VOTE_VALID",1,"WITEK ELŻBIETA",2,193,0
0,"2023-11-13T15:17:22","wybór Marszałka Sejmu","ON_LIST",0,1,1,1,10,"Wybór Marszałka Sejmu RP","Wybór Marszałka Sejmu RP",459, 89,"KO","Kamila","Gasiuk-Pihowicz",YES,NO,NA,"VOTE_VALID",1,"HOŁOWNIA SZYMON",1,265,0
